epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2192.08,3.50453,5.34415,4.01683,5e-05,0.00039,4e-05,1e-05,3.29599,5.4317,4.02627,6.95198e-05,6.95198e-05,6.95198e-05
44,2303.45,3.3756,5.31895,4.0025,4e-05,0.00039,2e-05,1e-05,3.28723,5.42355,4.02095,6.83417e-05,6.83417e-05,6.83417e-05
45,2421.69,3.49819,5.35962,3.99882,5e-05,0.0005,3e-05,1e-05,3.28299,5.42234,4.01541,6.71636e-05,6.71636e-05,6.71636e-05
46,2548.67,3.45928,5.26047,4.00296,0.40923,6e-05,6e-05,1e-05,3.27651,5.42004,4.012,6.59855e-05,6.59855e-05,6.59855e-05
47,2665.81,3.45652,5.31498,3.98211,0.00181,0.00134,0.00152,0.00062,3.2702,5.40555,4.00354,6.48074e-05,6.48074e-05,6.48074e-05
48,2807.65,3.4229,5.26207,3.98117,0.00011,0.00128,8e-05,2e-05,3.26356,5.38904,3.99838,6.36293e-05,6.36293e-05,6.36293e-05
49,2929.68,3.43557,5.26374,3.98101,7e-05,0.00067,4e-05,1e-05,3.26022,5.37607,3.98955,6.24512e-05,6.24512e-05,6.24512e-05
50,3082.07,3.45243,5.31562,3.98771,9e-05,0.00094,8e-05,2e-05,3.25923,5.36245,3.98105,6.12731e-05,6.12731e-05,6.12731e-05
51,3260.33,3.42204,5.29972,3.97736,0.0001,0.00116,7e-05,2e-05,3.25987,5.3527,3.97385,6.0095e-05,6.0095e-05,6.0095e-05
52,3392.99,3.38926,5.32277,3.97163,9e-05,0.00111,7e-05,2e-05,3.25841,5.34482,3.96982,5.89169e-05,5.89169e-05,5.89169e-05
53,3512.52,3.39833,5.29594,3.97235,9e-05,0.00078,6e-05,2e-05,3.25655,5.33333,3.96618,5.77388e-05,5.77388e-05,5.77388e-05
54,3633.61,3.37127,5.3012,3.97578,0.35252,0.00011,7e-05,2e-05,3.25401,5.3149,3.96079,5.65607e-05,5.65607e-05,5.65607e-05
55,3766.41,3.46776,5.28202,3.95902,0.00087,0.00312,0.00054,0.00012,3.25658,5.29996,3.95542,5.53826e-05,5.53826e-05,5.53826e-05
56,3924.94,3.35165,5.19972,3.93285,0.00097,0.00323,0.00061,0.00019,3.25527,5.29783,3.95262,5.42045e-05,5.42045e-05,5.42045e-05
57,4070.66,3.42289,5.26585,3.92518,0.00099,0.00312,0.00062,0.00019,3.25376,5.29398,3.94963,5.30264e-05,5.30264e-05,5.30264e-05
58,4244.77,3.44057,5.25379,3.93224,0.00069,0.00312,0.00042,0.00013,3.25324,5.2905,3.94688,5.18483e-05,5.18483e-05,5.18483e-05
59,4366.8,3.37805,5.24569,3.94743,0.0008,0.00312,0.00048,0.00015,3.2483,5.28205,3.93931,5.06702e-05,5.06702e-05,5.06702e-05
60,4501.59,3.42154,5.22065,3.93125,0.00028,0.0037,0.00026,7e-05,3.24741,5.27094,3.93156,4.94921e-05,4.94921e-05,4.94921e-05
61,4641.81,3.40905,5.23402,3.91263,0.35257,0.00011,5e-05,2e-05,3.24779,5.26153,3.92645,4.8314e-05,4.8314e-05,4.8314e-05
62,4772.42,3.42353,5.22806,3.92859,0.0015,0.00553,0.001,0.00012,3.24357,5.24927,3.92282,4.71359e-05,4.71359e-05,4.71359e-05
63,4920.24,3.39565,5.17893,3.90771,0.21152,0.0005,9e-05,3e-05,3.23954,5.24352,3.92145,4.59578e-05,4.59578e-05,4.59578e-05
64,5037.41,3.41747,5.24951,3.90427,0.19735,0.00044,7e-05,2e-05,3.23966,5.25373,3.9178,4.47797e-05,4.47797e-05,4.47797e-05
65,5176.21,3.37209,5.18548,3.9068,0.00012,0.00094,9e-05,3e-05,3.24062,5.25256,3.91471,4.36016e-05,4.36016e-05,4.36016e-05
66,5339.71,3.32659,5.20197,3.89159,0.25371,0.00044,6e-05,2e-05,3.24255,5.25298,3.91114,4.24235e-05,4.24235e-05,4.24235e-05
67,5501.8,3.42386,5.13821,3.91701,9e-05,0.00067,5e-05,2e-05,3.24141,5.24683,3.90768,4.12454e-05,4.12454e-05,4.12454e-05
