epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6827,3.50582,5.67155,4.2751,0,0,0,0,3.37872,5.96475,4.15898,0,0,0
2,24.9558,3.2417,5.73364,4.25247,0,0,0,0,3.37878,5.96484,4.15908,6.0095e-07,6.0095e-07,6.0095e-07
